Ente,Candidato,Voti totali,Liste/Gruppi,
GRESSONEY-SAINT-JEAN,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
GRESSONEY-SAINT-JEAN,LADU ANDREA,0,CASAPOUND ITALIA,
HONE,VIERIN LAURENT,336,UNION VALDOTAINE PROGRESSISTE,
HONE,MARGUERETTAZ RUDI FRANCO,154,VALLEE D'AOSTE,
HONE,COGNETTA ROBERTO UGO MASSIMO,125,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
HONE,GUICHARDAZ JEAN PIERRE,74,AUTONOMIE LIBERTE' DEMOCRATIE,
HONE,SPELGATTI NICOLETTA,15,LEGA NORD,
HONE,MELONI GIORGIA,8,FRATELLI D'ITALIA,
HONE,BUILLET FABRIZIO,6,FARE PER FERMARE IL DECLINO,
HONE,BRINGHEN LUCA,5,UNIONE DI CENTRO,
HONE,LADU ANDREA,3,CASAPOUND ITALIA,
HONE,CAMPION EROS,1,NATION VAL D'OUTA,
INTROD,VIERIN LAURENT,120,UNION VALDOTAINE PROGRESSISTE,
INTROD,MARGUERETTAZ RUDI FRANCO,87,VALLEE D'AOSTE,
INTROD,GUICHARDAZ JEAN PIERRE,71,AUTONOMIE LIBERTE' DEMOCRATIE,
INTROD,COGNETTA ROBERTO UGO MASSIMO,40,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
INTROD,SPELGATTI NICOLETTA,14,LEGA NORD,
INTROD,MELONI GIORGIA,8,FRATELLI D'ITALIA,
INTROD,BRINGHEN LUCA,7,UNIONE DI CENTRO,
INTROD,BUILLET FABRIZIO,4,FARE PER FERMARE IL DECLINO,
INTROD,CAMPION EROS,2,NATION VAL D'OUTA,
INTROD,LADU ANDREA,1,CASAPOUND ITALIA,
ISSIME,VIERIN LAURENT,78,UNION VALDOTAINE PROGRESSISTE,
ISSIME,MARGUERETTAZ RUDI FRANCO,75,VALLEE D'AOSTE,
ISSIME,COGNETTA ROBERTO UGO MASSIMO,27,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ISSIME,GUICHARDAZ JEAN PIERRE,27,AUTONOMIE LIBERTE' DEMOCRATIE,
ISSIME,SPELGATTI NICOLETTA,13,LEGA NORD,
ISSIME,MELONI GIORGIA,10,FRATELLI D'ITALIA,
ISSIME,BRINGHEN LUCA,3,UNIONE DI CENTRO,
ISSIME,LADU ANDREA,2,CASAPOUND ITALIA,
ISSIME,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
ISSIME,CAMPION EROS,0,NATION VAL D'OUTA,
ISSOGNE,MARGUERETTAZ RUDI FRANCO,242,VALLEE D'AOSTE,
ISSOGNE,VIERIN LAURENT,216,UNION VALDOTAINE PROGRESSISTE,
ISSOGNE,GUICHARDAZ JEAN PIERRE,188,AUTONOMIE LIBERTE' DEMOCRATIE,
ISSOGNE,COGNETTA ROBERTO UGO MASSIMO,122,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ISSOGNE,SPELGATTI NICOLETTA,24,LEGA NORD,
ISSOGNE,BRINGHEN LUCA,8,UNIONE DI CENTRO,
ISSOGNE,MELONI GIORGIA,7,FRATELLI D'ITALIA,
ISSOGNE,BUILLET FABRIZIO,6,FARE PER FERMARE IL DECLINO,
ISSOGNE,LADU ANDREA,4,CASAPOUND ITALIA,
ISSOGNE,CAMPION EROS,2,NATION VAL D'OUTA,
JOVENCAN,VIERIN LAURENT,221,UNION VALDOTAINE PROGRESSISTE,
JOVENCAN,MARGUERETTAZ RUDI FRANCO,79,VALLEE D'AOSTE,
JOVENCAN,GUICHARDAZ JEAN PIERRE,64,AUTONOMIE LIBERTE' DEMOCRATIE,
JOVENCAN,COGNETTA ROBERTO UGO MASSIMO,46,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
JOVENCAN,BRINGHEN LUCA,11,UNIONE DI CENTRO,
JOVENCAN,SPELGATTI NICOLETTA,7,LEGA NORD,
JOVENCAN,LADU ANDREA,6,CASAPOUND ITALIA,
JOVENCAN,MELONI GIORGIA,5,FRATELLI D'ITALIA,
JOVENCAN,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
JOVENCAN,CAMPION EROS,1,NATION VAL D'OUTA,
LA MAGDELEINE,VIERIN LAURENT,25,UNION VALDOTAINE PROGRESSISTE,
LA MAGDELEINE,MARGUERETTAZ RUDI FRANCO,19,VALLEE D'AOSTE,
LA MAGDELEINE,GUICHARDAZ JEAN PIERRE,10,AUTONOMIE LIBERTE' DEMOCRATIE,
LA MAGDELEINE,COGNETTA ROBERTO UGO MASSIMO,9,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
LA MAGDELEINE,SPELGATTI NICOLETTA,5,LEGA NORD,
LA MAGDELEINE,MELONI GIORGIA,4,FRATELLI D'ITALIA,
LA MAGDELEINE,BRINGHEN LUCA,2,UNIONE DI CENTRO,
LA MAGDELEINE,CAMPION EROS,1,NATION VAL D'OUTA,
LA MAGDELEINE,LADU ANDREA,0,CASAPOUND ITALIA,
LA MAGDELEINE,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
LA SALLE,VIERIN LAURENT,390,UNION VALDOTAINE PROGRESSISTE,
LA SALLE,MARGUERETTAZ RUDI FRANCO,212,VALLEE D'AOSTE,
LA SALLE,COGNETTA ROBERTO UGO MASSIMO,176,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
LA SALLE,GUICHARDAZ JEAN PIERRE,168,AUTONOMIE LIBERTE' DEMOCRATIE,
LA SALLE,MELONI GIORGIA,39,FRATELLI D'ITALIA,
LA SALLE,SPELGATTI NICOLETTA,31,LEGA NORD,
LA SALLE,BRINGHEN LUCA,22,UNIONE DI CENTRO,
LA SALLE,BUILLET FABRIZIO,14,FARE PER FERMARE IL DECLINO,
LA SALLE,LADU ANDREA,8,CASAPOUND ITALIA,
LA SALLE,CAMPION EROS,3,NATION VAL D'OUTA,
LA THUILE,VIERIN LAURENT,182,UNION VALDOTAINE PROGRESSISTE,
LA THUILE,MARGUERETTAZ RUDI FRANCO,144,VALLEE D'AOSTE,
LA THUILE,COGNETTA ROBERTO UGO MASSIMO,68,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
LA THUILE,GUICHARDAZ JEAN PIERRE,39,AUTONOMIE LIBERTE' DEMOCRATIE,
LA THUILE,MELONI GIORGIA,20,FRATELLI D'ITALIA,
LA THUILE,SPELGATTI NICOLETTA,16,LEGA NORD,
LA THUILE,BRINGHEN LUCA,8,UNIONE DI CENTRO,
LA THUILE,BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
LA THUILE,LADU ANDREA,2,CASAPOUND ITALIA,
LA THUILE,CAMPION EROS,0,NATION VAL D'OUTA,
LILLIANES,MARGUERETTAZ RUDI FRANCO,101,VALLEE D'AOSTE,
LILLIANES,VIERIN LAURENT,72,UNION VALDOTAINE PROGRESSISTE,
LILLIANES,COGNETTA ROBERTO UGO MASSIMO,33,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
LILLIANES,GUICHARDAZ JEAN PIERRE,24,AUTONOMIE LIBERTE' DEMOCRATIE,
LILLIANES,SPELGATTI NICOLETTA,7,LEGA NORD,
LILLIANES,MELONI GIORGIA,3,FRATELLI D'ITALIA,
LILLIANES,BRINGHEN LUCA,2,UNIONE DI CENTRO,
LILLIANES,LADU ANDREA,1,CASAPOUND ITALIA,
LILLIANES,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
LILLIANES,CAMPION EROS,0,NATION VAL D'OUTA,
MONTJOVET,MARGUERETTAZ RUDI FRANCO,324,VALLEE D'AOSTE,
MONTJOVET,VIERIN LAURENT,251,UNION VALDOTAINE PROGRESSISTE,
MONTJOVET,COGNETTA ROBERTO UGO MASSIMO,210,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
MONTJOVET,GUICHARDAZ JEAN PIERRE,165,AUTONOMIE LIBERTE' DEMOCRATIE,
MONTJOVET,MELONI GIORGIA,35,FRATELLI D'ITALIA,
MONTJOVET,SPELGATTI NICOLETTA,28,LEGA NORD,
MONTJOVET,LADU ANDREA,5,CASAPOUND ITALIA,
MONTJOVET,BRINGHEN LUCA,5,UNIONE DI CENTRO,
MONTJOVET,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
MONTJOVET,CAMPION EROS,1,NATION VAL D'OUTA,
MORGEX,VIERIN LAURENT,313,UNION VALDOTAINE PROGRESSISTE,
MORGEX,GUICHARDAZ JEAN PIERRE,224,AUTONOMIE LIBERTE' DEMOCRATIE,
MORGEX,MARGUERETTAZ RUDI FRANCO,213,VALLEE D'AOSTE,
MORGEX,COGNETTA ROBERTO UGO MASSIMO,190,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
MORGEX,SPELGATTI NICOLETTA,76,LEGA NORD,
MORGEX,MELONI GIORGIA,64,FRATELLI D'ITALIA,
MORGEX,BRINGHEN LUCA,29,UNIONE DI CENTRO,
MORGEX,BUILLET FABRIZIO,14,FARE PER FERMARE IL DECLINO,
MORGEX,LADU ANDREA,11,CASAPOUND ITALIA,
MORGEX,CAMPION EROS,0,NATION VAL D'OUTA,
NUS,VIERIN LAURENT,462,UNION VALDOTAINE PROGRESSISTE,
NUS,MARGUERETTAZ RUDI FRANCO,409,VALLEE D'AOSTE,
NUS,GUICHARDAZ JEAN PIERRE,322,AUTONOMIE LIBERTE' DEMOCRATIE,
NUS,COGNETTA ROBERTO UGO MASSIMO,297,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
NUS,MELONI GIORGIA,69,FRATELLI D'ITALIA,
NUS,SPELGATTI NICOLETTA,51,LEGA NORD,
NUS,BRINGHEN LUCA,19,UNIONE DI CENTRO,
NUS,LADU ANDREA,16,CASAPOUND ITALIA,
NUS,BUILLET FABRIZIO,10,FARE PER FERMARE IL DECLINO,
NUS,CAMPION EROS,3,NATION VAL D'OUTA,
OLLOMONT,VIERIN LAURENT,42,UNION VALDOTAINE PROGRESSISTE,
OLLOMONT,MARGUERETTAZ RUDI FRANCO,23,VALLEE D'AOSTE,
OLLOMONT,COGNETTA ROBERTO UGO MASSIMO,20,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
OLLOMONT,GUICHARDAZ JEAN PIERRE,13,AUTONOMIE LIBERTE' DEMOCRATIE,
OLLOMONT,MELONI GIORGIA,4,FRATELLI D'ITALIA,
OLLOMONT,LADU ANDREA,1,CASAPOUND ITALIA,
OLLOMONT,SPELGATTI NICOLETTA,1,LEGA NORD,
OLLOMONT,BRINGHEN LUCA,0,UNIONE DI CENTRO,
OLLOMONT,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
OLLOMONT,CAMPION EROS,0,NATION VAL D'OUTA,
OYACE,MARGUERETTAZ RUDI FRANCO,44,VALLEE D'AOSTE,
OYACE,VIERIN LAURENT,40,UNION VALDOTAINE PROGRESSISTE,
OYACE,GUICHARDAZ JEAN PIERRE,28,AUTONOMIE LIBERTE' DEMOCRATIE,
OYACE,COGNETTA ROBERTO UGO MASSIMO,7,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
OYACE,MELONI GIORGIA,5,FRATELLI D'ITALIA,
OYACE,SPELGATTI NICOLETTA,2,LEGA NORD,
OYACE,BRINGHEN LUCA,1,UNIONE DI CENTRO,
OYACE,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
OYACE,CAMPION EROS,1,NATION VAL D'OUTA,
OYACE,LADU ANDREA,0,CASAPOUND ITALIA,
PERLOZ,VIERIN LAURENT,85,UNION VALDOTAINE PROGRESSISTE,
PERLOZ,MARGUERETTAZ RUDI FRANCO,79,VALLEE D'AOSTE,
PERLOZ,GUICHARDAZ JEAN PIERRE,44,AUTONOMIE LIBERTE' DEMOCRATIE,
PERLOZ,COGNETTA ROBERTO UGO MASSIMO,42,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
PERLOZ,SPELGATTI NICOLETTA,7,LEGA NORD,
PERLOZ,BRINGHEN LUCA,7,UNIONE DI CENTRO,
PERLOZ,MELONI GIORGIA,2,FRATELLI D'ITALIA,
PERLOZ,CAMPION EROS,1,NATION VAL D'OUTA,
PERLOZ,LADU ANDREA,0,CASAPOUND ITALIA,
PERLOZ,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
POLLEIN,MARGUERETTAZ RUDI FRANCO,313,VALLEE D'AOSTE,
POLLEIN,VIERIN LAURENT,200,UNION VALDOTAINE PROGRESSISTE,
POLLEIN,COGNETTA ROBERTO UGO MASSIMO,184,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
POLLEIN,GUICHARDAZ JEAN PIERRE,169,AUTONOMIE LIBERTE' DEMOCRATIE,
POLLEIN,MELONI GIORGIA,47,FRATELLI D'ITALIA,
POLLEIN,SPELGATTI NICOLETTA,26,LEGA NORD,
POLLEIN,LADU ANDREA,21,CASAPOUND ITALIA,
POLLEIN,BRINGHEN LUCA,8,UNIONE DI CENTRO,
POLLEIN,BUILLET FABRIZIO,6,FARE PER FERMARE IL DECLINO,
POLLEIN,CAMPION EROS,1,NATION VAL D'OUTA,
PONT-SAINT-MARTIN,MARGUERETTAZ RUDI FRANCO,609,VALLEE D'AOSTE,
PONT-SAINT-MARTIN,COGNETTA ROBERTO UGO MASSIMO,499,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
PONT-SAINT-MARTIN,VIERIN LAURENT,496,UNION VALDOTAINE PROGRESSISTE,
PONT-SAINT-MARTIN,GUICHARDAZ JEAN PIERRE,376,AUTONOMIE LIBERTE' DEMOCRATIE,
PONT-SAINT-MARTIN,MELONI GIORGIA,84,FRATELLI D'ITALIA,
PONT-SAINT-MARTIN,BRINGHEN LUCA,75,UNIONE DI CENTRO,
PONT-SAINT-MARTIN,SPELGATTI NICOLETTA,67,LEGA NORD,
PONT-SAINT-MARTIN,BUILLET FABRIZIO,18,FARE PER FERMARE IL DECLINO,
PONT-SAINT-MARTIN,LADU ANDREA,12,CASAPOUND ITALIA,
PONT-SAINT-MARTIN,CAMPION EROS,6,NATION VAL D'OUTA,
PONTBOSET,VIERIN LAURENT,35,UNION VALDOTAINE PROGRESSISTE,
PONTBOSET,COGNETTA ROBERTO UGO MASSIMO,31,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
PONTBOSET,MARGUERETTAZ RUDI FRANCO,25,VALLEE D'AOSTE,
PONTBOSET,GUICHARDAZ JEAN PIERRE,16,AUTONOMIE LIBERTE' DEMOCRATIE,
PONTBOSET,MELONI GIORGIA,2,FRATELLI D'ITALIA,
PONTBOSET,SPELGATTI NICOLETTA,2,LEGA NORD,
PONTBOSET,BRINGHEN LUCA,1,UNIONE DI CENTRO,
PONTBOSET,LADU ANDREA,0,CASAPOUND ITALIA,
PONTBOSET,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
PONTBOSET,CAMPION EROS,0,NATION VAL D'OUTA,
PONTEY,MARGUERETTAZ RUDI FRANCO,157,VALLEE D'AOSTE,
PONTEY,VIERIN LAURENT,148,UNION VALDOTAINE PROGRESSISTE,
PONTEY,GUICHARDAZ JEAN PIERRE,77,AUTONOMIE LIBERTE' DEMOCRATIE,
PONTEY,COGNETTA ROBERTO UGO MASSIMO,74,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
PONTEY,SPELGATTI NICOLETTA,17,LEGA NORD,
PONTEY,MELONI GIORGIA,14,FRATELLI D'ITALIA,
PONTEY,BRINGHEN LUCA,5,UNIONE DI CENTRO,
PONTEY,BUILLET FABRIZIO,4,FARE PER FERMARE IL DECLINO,
PONTEY,LADU ANDREA,3,CASAPOUND ITALIA,
PONTEY,CAMPION EROS,0,NATION VAL D'OUTA,
PRE'-SAINT-DIDIER,MARGUERETTAZ RUDI FRANCO,164,VALLEE D'AOSTE,
PRE'-SAINT-DIDIER,VIERIN LAURENT,122,UNION VALDOTAINE PROGRESSISTE,
PRE'-SAINT-DIDIER,COGNETTA ROBERTO UGO MASSIMO,99,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
PRE'-SAINT-DIDIER,GUICHARDAZ JEAN PIERRE,60,AUTONOMIE LIBERTE' DEMOCRATIE,
PRE'-SAINT-DIDIER,MELONI GIORGIA,51,FRATELLI D'ITALIA,
PRE'-SAINT-DIDIER,SPELGATTI NICOLETTA,21,LEGA NORD,
PRE'-SAINT-DIDIER,BRINGHEN LUCA,15,UNIONE DI CENTRO,
PRE'-SAINT-DIDIER,BUILLET FABRIZIO,9,FARE PER FERMARE IL DECLINO,
PRE'-SAINT-DIDIER,LADU ANDREA,6,CASAPOUND ITALIA,
PRE'-SAINT-DIDIER,CAMPION EROS,2,NATION VAL D'OUTA,
QUART,VIERIN LAURENT,633,UNION VALDOTAINE PROGRESSISTE,
QUART,MARGUERETTAZ RUDI FRANCO,539,VALLEE D'AOSTE,
QUART,COGNETTA ROBERTO UGO MASSIMO,526,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
QUART,GUICHARDAZ JEAN PIERRE,413,AUTONOMIE LIBERTE' DEMOCRATIE,
QUART,MELONI GIORGIA,84,FRATELLI D'ITALIA,
QUART,SPELGATTI NICOLETTA,65,LEGA NORD,
QUART,BRINGHEN LUCA,46,UNIONE DI CENTRO,
QUART,BUILLET FABRIZIO,13,FARE PER FERMARE IL DECLINO,
QUART,LADU ANDREA,5,CASAPOUND ITALIA,
QUART,CAMPION EROS,4,NATION VAL D'OUTA,
RHEMES-NOTRE-DAME,VIERIN LAURENT,17,UNION VALDOTAINE PROGRESSISTE,
RHEMES-NOTRE-DAME,MARGUERETTAZ RUDI FRANCO,12,VALLEE D'AOSTE,
RHEMES-NOTRE-DAME,COGNETTA ROBERTO UGO MASSIMO,10,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
RHEMES-NOTRE-DAME,GUICHARDAZ JEAN PIERRE,8,AUTONOMIE LIBERTE' DEMOCRATIE,
RHEMES-NOTRE-DAME,MELONI GIORGIA,1,FRATELLI D'ITALIA,
RHEMES-NOTRE-DAME,BUILLET FABRIZIO,1,FARE PER FERMARE IL DECLINO,
RHEMES-NOTRE-DAME,LADU ANDREA,0,CASAPOUND ITALIA,
RHEMES-NOTRE-DAME,BRINGHEN LUCA,0,UNIONE DI CENTRO,
RHEMES-NOTRE-DAME,SPELGATTI NICOLETTA,0,LEGA NORD,
RHEMES-NOTRE-DAME,CAMPION EROS,0,NATION VAL D'OUTA,
RHEMES-SAINT-GEORGES,VIERIN LAURENT,76,UNION VALDOTAINE PROGRESSISTE,
RHEMES-SAINT-GEORGES,MARGUERETTAZ RUDI FRANCO,18,VALLEE D'AOSTE,
RHEMES-SAINT-GEORGES,COGNETTA ROBERTO UGO MASSIMO,14,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
RHEMES-SAINT-GEORGES,GUICHARDAZ JEAN PIERRE,8,AUTONOMIE LIBERTE' DEMOCRATIE,
RHEMES-SAINT-GEORGES,MELONI GIORGIA,1,FRATELLI D'ITALIA,
RHEMES-SAINT-GEORGES,LADU ANDREA,0,CASAPOUND ITALIA,
RHEMES-SAINT-GEORGES,BRINGHEN LUCA,0,UNIONE DI CENTRO,
RHEMES-SAINT-GEORGES,BUILLET FABRIZIO,0,FARE PER FERMARE IL DECLINO,
RHEMES-SAINT-GEORGES,SPELGATTI NICOLETTA,0,LEGA NORD,
RHEMES-SAINT-GEORGES,CAMPION EROS,0,NATION VAL D'OUTA,
ROISAN,VIERIN LAURENT,150,UNION VALDOTAINE PROGRESSISTE,
ROISAN,GUICHARDAZ JEAN PIERRE,126,AUTONOMIE LIBERTE' DEMOCRATIE,
ROISAN,MARGUERETTAZ RUDI FRANCO,107,VALLEE D'AOSTE,
ROISAN,COGNETTA ROBERTO UGO MASSIMO,88,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
ROISAN,SPELGATTI NICOLETTA,25,LEGA NORD,
ROISAN,MELONI GIORGIA,23,FRATELLI D'ITALIA,
ROISAN,BRINGHEN LUCA,6,UNIONE DI CENTRO,
ROISAN,LADU ANDREA,5,CASAPOUND ITALIA,
ROISAN,BUILLET FABRIZIO,3,FARE PER FERMARE IL DECLINO,
ROISAN,CAMPION EROS,0,NATION VAL D'OUTA,
SAINT-CHRISTOPHE,VIERIN LAURENT,538,UNION VALDOTAINE PROGRESSISTE,
SAINT-CHRISTOPHE,MARGUERETTAZ RUDI FRANCO,482,VALLEE D'AOSTE,
SAINT-CHRISTOPHE,GUICHARDAZ JEAN PIERRE,478,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-CHRISTOPHE,COGNETTA ROBERTO UGO MASSIMO,389,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-CHRISTOPHE,MELONI GIORGIA,69,FRATELLI D'ITALIA,
SAINT-CHRISTOPHE,SPELGATTI NICOLETTA,47,LEGA NORD,
SAINT-CHRISTOPHE,BRINGHEN LUCA,25,UNIONE DI CENTRO,
SAINT-CHRISTOPHE,BUILLET FABRIZIO,17,FARE PER FERMARE IL DECLINO,
SAINT-CHRISTOPHE,CAMPION EROS,5,NATION VAL D'OUTA,
SAINT-CHRISTOPHE,LADU ANDREA,4,CASAPOUND ITALIA,
SAINT-DENIS,VIERIN LAURENT,81,UNION VALDOTAINE PROGRESSISTE,
SAINT-DENIS,MARGUERETTAZ RUDI FRANCO,47,VALLEE D'AOSTE,
SAINT-DENIS,GUICHARDAZ JEAN PIERRE,41,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-DENIS,COGNETTA ROBERTO UGO MASSIMO,32,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-DENIS,SPELGATTI NICOLETTA,6,LEGA NORD,
SAINT-DENIS,BUILLET FABRIZIO,4,FARE PER FERMARE IL DECLINO,
SAINT-DENIS,BRINGHEN LUCA,3,UNIONE DI CENTRO,
SAINT-DENIS,MELONI GIORGIA,2,FRATELLI D'ITALIA,
SAINT-DENIS,LADU ANDREA,0,CASAPOUND ITALIA,
SAINT-DENIS,CAMPION EROS,0,NATION VAL D'OUTA,
SAINT-MARCEL,VIERIN LAURENT,193,UNION VALDOTAINE PROGRESSISTE,
SAINT-MARCEL,GUICHARDAZ JEAN PIERRE,186,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-MARCEL,MARGUERETTAZ RUDI FRANCO,170,VALLEE D'AOSTE,
SAINT-MARCEL,COGNETTA ROBERTO UGO MASSIMO,142,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-MARCEL,MELONI GIORGIA,22,FRATELLI D'ITALIA,
SAINT-MARCEL,SPELGATTI NICOLETTA,18,LEGA NORD,
SAINT-MARCEL,BRINGHEN LUCA,15,UNIONE DI CENTRO,
SAINT-MARCEL,BUILLET FABRIZIO,5,FARE PER FERMARE IL DECLINO,
SAINT-MARCEL,CAMPION EROS,4,NATION VAL D'OUTA,
SAINT-MARCEL,LADU ANDREA,1,CASAPOUND ITALIA,
SAINT-NICOLAS,VIERIN LAURENT,70,UNION VALDOTAINE PROGRESSISTE,
SAINT-NICOLAS,MARGUERETTAZ RUDI FRANCO,42,VALLEE D'AOSTE,
SAINT-NICOLAS,COGNETTA ROBERTO UGO MASSIMO,33,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-NICOLAS,GUICHARDAZ JEAN PIERRE,24,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-NICOLAS,MELONI GIORGIA,5,FRATELLI D'ITALIA,
SAINT-NICOLAS,SPELGATTI NICOLETTA,3,LEGA NORD,
SAINT-NICOLAS,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
SAINT-NICOLAS,LADU ANDREA,1,CASAPOUND ITALIA,
SAINT-NICOLAS,BRINGHEN LUCA,0,UNIONE DI CENTRO,
SAINT-NICOLAS,CAMPION EROS,0,NATION VAL D'OUTA,
SAINT-OYEN,VIERIN LAURENT,46,UNION VALDOTAINE PROGRESSISTE,
SAINT-OYEN,MARGUERETTAZ RUDI FRANCO,42,VALLEE D'AOSTE,
SAINT-OYEN,GUICHARDAZ JEAN PIERRE,20,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-OYEN,COGNETTA ROBERTO UGO MASSIMO,16,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-OYEN,BRINGHEN LUCA,5,UNIONE DI CENTRO,
SAINT-OYEN,BUILLET FABRIZIO,2,FARE PER FERMARE IL DECLINO,
SAINT-OYEN,MELONI GIORGIA,1,FRATELLI D'ITALIA,
SAINT-OYEN,SPELGATTI NICOLETTA,1,LEGA NORD,
SAINT-OYEN,LADU ANDREA,0,CASAPOUND ITALIA,
SAINT-OYEN,CAMPION EROS,0,NATION VAL D'OUTA,
SAINT-PIERRE,VIERIN LAURENT,385,UNION VALDOTAINE PROGRESSISTE,
SAINT-PIERRE,GUICHARDAZ JEAN PIERRE,352,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-PIERRE,MARGUERETTAZ RUDI FRANCO,347,VALLEE D'AOSTE,
SAINT-PIERRE,COGNETTA ROBERTO UGO MASSIMO,345,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-PIERRE,MELONI GIORGIA,70,FRATELLI D'ITALIA,
SAINT-PIERRE,SPELGATTI NICOLETTA,57,LEGA NORD,
SAINT-PIERRE,BRINGHEN LUCA,41,UNIONE DI CENTRO,
SAINT-PIERRE,BUILLET FABRIZIO,21,FARE PER FERMARE IL DECLINO,
SAINT-PIERRE,LADU ANDREA,9,CASAPOUND ITALIA,
SAINT-PIERRE,CAMPION EROS,1,NATION VAL D'OUTA,
SAINT-RHEMY-EN-BOSSES,MARGUERETTAZ RUDI FRANCO,71,VALLEE D'AOSTE,
SAINT-RHEMY-EN-BOSSES,VIERIN LAURENT,65,UNION VALDOTAINE PROGRESSISTE,
SAINT-RHEMY-EN-BOSSES,COGNETTA ROBERTO UGO MASSIMO,44,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-RHEMY-EN-BOSSES,GUICHARDAZ JEAN PIERRE,22,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-RHEMY-EN-BOSSES,BUILLET FABRIZIO,8,FARE PER FERMARE IL DECLINO,
SAINT-RHEMY-EN-BOSSES,SPELGATTI NICOLETTA,5,LEGA NORD,
SAINT-RHEMY-EN-BOSSES,MELONI GIORGIA,3,FRATELLI D'ITALIA,
SAINT-RHEMY-EN-BOSSES,BRINGHEN LUCA,1,UNIONE DI CENTRO,
SAINT-RHEMY-EN-BOSSES,LADU ANDREA,0,CASAPOUND ITALIA,
SAINT-RHEMY-EN-BOSSES,CAMPION EROS,0,NATION VAL D'OUTA,
SAINT-VINCENT,MARGUERETTAZ RUDI FRANCO,802,VALLEE D'AOSTE,
SAINT-VINCENT,VIERIN LAURENT,626,UNION VALDOTAINE PROGRESSISTE,
SAINT-VINCENT,COGNETTA ROBERTO UGO MASSIMO,478,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,
SAINT-VINCENT,GUICHARDAZ JEAN PIERRE,371,AUTONOMIE LIBERTE' DEMOCRATIE,
SAINT-VINCENT,MELONI GIORGIA,142,FRATELLI D'ITALIA,
SAINT-VINCENT,SPELGATTI NICOLETTA,107,LEGA NORD,
SAINT-VINCENT,BRINGHEN LUCA,60,UNIONE DI CENTRO,
SAINT-VINCENT,BUILLET FABRIZIO,22,FARE PER FERMARE IL DECLINO,
SAINT-VINCENT,LADU ANDREA,11,CASAPOUND ITALIA,
SAINT-VINCENT,CAMPION EROS,8,NATION VAL D'OUTA,
SARRE,GUICHARDAZ JEAN PIERRE,648,AUTONOMIE LIBERTE' DEMOCRATIE,
SARRE,MARGUERETTAZ RUDI FRANCO,628,VALLEE D'AOSTE,
