Ente,Liste/Gruppi,Voti,,
IVANO-FRACENA,MIR - MODERATI IN RIVOLUZIONE,2,,
LAVARONE,SVP - PATT - PD - UPT,313,,
LAVARONE,IL POPOLO DELLA LIBERTA' - LEGA NORD,147,,
LAVARONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,112,,
LAVARONE,FARE PER FERMARE IL DECLINO,11,,
LAVARONE,RIVOLUZIONE CIVILE,9,,
LAVARONE,MIR - MODERATI IN RIVOLUZIONE,7,,
LEVICO TERME,SVP - PATT - PD - UPT,1672,,
LEVICO TERME,IL POPOLO DELLA LIBERTA' - LEGA NORD,992,,
LEVICO TERME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,826,,
LEVICO TERME,RIVOLUZIONE CIVILE,119,,
LEVICO TERME,FARE PER FERMARE IL DECLINO,89,,
LEVICO TERME,MIR - MODERATI IN RIVOLUZIONE,66,,
LUSERNA,SVP - PATT - PD - UPT,92,,
LUSERNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,27,,
LUSERNA,IL POPOLO DELLA LIBERTA' - LEGA NORD,20,,
LUSERNA,RIVOLUZIONE CIVILE,4,,
LUSERNA,MIR - MODERATI IN RIVOLUZIONE,1,,
LUSERNA,FARE PER FERMARE IL DECLINO,1,,
MAZZIN,IL POPOLO DELLA LIBERTA' - LEGA NORD,99,,
MAZZIN,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,64,,
MAZZIN,SVP - PATT - PD - UPT,57,,
MAZZIN,FARE PER FERMARE IL DECLINO,6,,
MAZZIN,RIVOLUZIONE CIVILE,4,,
MAZZIN,MIR - MODERATI IN RIVOLUZIONE,4,,
MEZZANO,SVP - PATT - PD - UPT,451,,
MEZZANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,223,,
MEZZANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,137,,
MEZZANO,FARE PER FERMARE IL DECLINO,17,,
MEZZANO,RIVOLUZIONE CIVILE,16,,
MEZZANO,MIR - MODERATI IN RIVOLUZIONE,14,,
MOENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,477,,
MOENA,SVP - PATT - PD - UPT,452,,
MOENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,240,,
MOENA,RIVOLUZIONE CIVILE,103,,
MOENA,FARE PER FERMARE IL DECLINO,27,,
MOENA,MIR - MODERATI IN RIVOLUZIONE,12,,
NOVALEDO,SVP - PATT - PD - UPT,197,,
NOVALEDO,IL POPOLO DELLA LIBERTA' - LEGA NORD,154,,
NOVALEDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,129,,
NOVALEDO,MIR - MODERATI IN RIVOLUZIONE,20,,
NOVALEDO,RIVOLUZIONE CIVILE,13,,
NOVALEDO,FARE PER FERMARE IL DECLINO,8,,
OSPEDALETTO,SVP - PATT - PD - UPT,177,,
OSPEDALETTO,IL POPOLO DELLA LIBERTA' - LEGA NORD,161,,
OSPEDALETTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,89,,
OSPEDALETTO,MIR - MODERATI IN RIVOLUZIONE,10,,
OSPEDALETTO,RIVOLUZIONE CIVILE,7,,
OSPEDALETTO,FARE PER FERMARE IL DECLINO,6,,
PALU' DEL FERSINA,SVP - PATT - PD - UPT,54,,
PALU' DEL FERSINA,IL POPOLO DELLA LIBERTA' - LEGA NORD,24,,
PALU' DEL FERSINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,14,,
PALU' DEL FERSINA,RIVOLUZIONE CIVILE,3,,
PALU' DEL FERSINA,FARE PER FERMARE IL DECLINO,2,,
PALU' DEL FERSINA,MIR - MODERATI IN RIVOLUZIONE,0,,
PANCHIA',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,128,,
PANCHIA',IL POPOLO DELLA LIBERTA' - LEGA NORD,118,,
PANCHIA',SVP - PATT - PD - UPT,113,,
PANCHIA',FARE PER FERMARE IL DECLINO,16,,
PANCHIA',RIVOLUZIONE CIVILE,13,,
PANCHIA',MIR - MODERATI IN RIVOLUZIONE,5,,
PERGINE VALSUGANA,SVP - PATT - PD - UPT,4722,,
PERGINE VALSUGANA,IL POPOLO DELLA LIBERTA' - LEGA NORD,2606,,
PERGINE VALSUGANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2500,,
PERGINE VALSUGANA,RIVOLUZIONE CIVILE,317,,
