Ente,Liste/Gruppi,Voti,,
PERCA,VERDI - GRUNE - VERC,77,,
PERCA,PARTITO DEMOCRATICO,28,,
PERCA,SCELTA CIVICA CON MONTI PER L'ITALIA,18,,
PERCA,IL POPOLO DELLA LIBERTA' - LEGA NORD,17,,
PERCA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,10,,
PERCA,LA DESTRA,1,,
PERCA,RIVOLUZIONE CIVILE,1,,
PERCA,L'ALTO ADIGE NEL CUORE,0,,
PONTE GARDENA,SVP,64,,
PONTE GARDENA,DIE FREIHEITLICHEN,12,,
PONTE GARDENA,SCELTA CIVICA CON MONTI PER L'ITALIA,8,,
PONTE GARDENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,7,,
PONTE GARDENA,PARTITO DEMOCRATICO,3,,
PONTE GARDENA,VERDI - GRUNE - VERC,2,,
PONTE GARDENA,IL POPOLO DELLA LIBERTA' - LEGA NORD,1,,
PONTE GARDENA,L'ALTO ADIGE NEL CUORE,1,,
PONTE GARDENA,LA DESTRA,0,,
PONTE GARDENA,RIVOLUZIONE CIVILE,0,,
PREDOI,SVP,172,,
PREDOI,DIE FREIHEITLICHEN,103,,
PREDOI,VERDI - GRUNE - VERC,15,,
PREDOI,PARTITO DEMOCRATICO,13,,
PREDOI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,6,,
PREDOI,IL POPOLO DELLA LIBERTA' - LEGA NORD,5,,
PREDOI,SCELTA CIVICA CON MONTI PER L'ITALIA,4,,
PREDOI,L'ALTO ADIGE NEL CUORE,0,,
PREDOI,LA DESTRA,0,,
PREDOI,RIVOLUZIONE CIVILE,0,,
RACINES,SVP,1527,,
RACINES,DIE FREIHEITLICHEN,591,,
RACINES,VERDI - GRUNE - VERC,89,,
RACINES,SCELTA CIVICA CON MONTI PER L'ITALIA,49,,
RACINES,PARTITO DEMOCRATICO,41,,
RACINES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,36,,
RACINES,IL POPOLO DELLA LIBERTA' - LEGA NORD,26,,
RACINES,L'ALTO ADIGE NEL CUORE,2,,
RACINES,RIVOLUZIONE CIVILE,2,,
RACINES,LA DESTRA,1,,
RASUN ANTERSELVA,SVP,980,,
RASUN ANTERSELVA,DIE FREIHEITLICHEN,372,,
RASUN ANTERSELVA,VERDI - GRUNE - VERC,94,,
RASUN ANTERSELVA,SCELTA CIVICA CON MONTI PER L'ITALIA,36,,
RASUN ANTERSELVA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,22,,
RASUN ANTERSELVA,PARTITO DEMOCRATICO,19,,
RASUN ANTERSELVA,IL POPOLO DELLA LIBERTA' - LEGA NORD,18,,
RASUN ANTERSELVA,LA DESTRA,1,,
RASUN ANTERSELVA,L'ALTO ADIGE NEL CUORE,0,,
RASUN ANTERSELVA,RIVOLUZIONE CIVILE,0,,
RENON,SVP,2569,,
RENON,DIE FREIHEITLICHEN,666,,
RENON,VERDI - GRUNE - VERC,249,,
RENON,PARTITO DEMOCRATICO,158,,
RENON,SCELTA CIVICA CON MONTI PER L'ITALIA,113,,
RENON,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,104,,
RENON,IL POPOLO DELLA LIBERTA' - LEGA NORD,62,,
RENON,RIVOLUZIONE CIVILE,6,,
RENON,L'ALTO ADIGE NEL CUORE,4,,
RENON,LA DESTRA,3,,
RIO DI PUSTERIA,SVP,829,,
RIO DI PUSTERIA,DIE FREIHEITLICHEN,486,,
RIO DI PUSTERIA,VERDI - GRUNE - VERC,63,,
RIO DI PUSTERIA,IL POPOLO DELLA LIBERTA' - LEGA NORD,46,,
RIO DI PUSTERIA,SCELTA CIVICA CON MONTI PER L'ITALIA,44,,
